museums/name,museums/address,museums/longitude,museums/latitude,museums/phone_number,museums/opening_hours/open_now,museums/opening_hours/periods/0/close/day,museums/opening_hours/periods/0/close/time,museums/opening_hours/periods/0/open/day,museums/opening_hours/periods/0/open/time,museums/opening_hours/periods/1/close/day,museums/opening_hours/periods/1/close/time,museums/opening_hours/periods/1/open/day,museums/opening_hours/periods/1/open/time,museums/opening_hours/periods/2/close/day,museums/opening_hours/periods/2/close/time,museums/opening_hours/periods/2/open/day,museums/opening_hours/periods/2/open/time,museums/opening_hours/periods/3/close/day,museums/opening_hours/periods/3/close/time,museums/opening_hours/periods/3/open/day,museums/opening_hours/periods/3/open/time,museums/opening_hours/periods/4/close/day,museums/opening_hours/periods/4/close/time,museums/opening_hours/periods/4/open/day,museums/opening_hours/periods/4/open/time,museums/opening_hours/periods/5/close/day,museums/opening_hours/periods/5/close/time,museums/opening_hours/periods/5/open/day,museums/opening_hours/periods/5/open/time,museums/opening_hours/weekday_text/0,museums/opening_hours/weekday_text/1,museums/opening_hours/weekday_text/2,museums/opening_hours/weekday_text/3,museums/opening_hours/weekday_text/4,museums/opening_hours/weekday_text/5,museums/opening_hours/weekday_text/6,museums/rating,museums/website,museums/permanently_closed,museums/opening_hours/periods/6/close/day,museums/opening_hours/periods/6/close/time,museums/opening_hours/periods/6/open/day,museums/opening_hours/periods/6/open/time
NATIONAL GUARD MEMORIAL MUSEUM,1 MASSACHUSETTS AVENUE NW,-77.00955916,38.89811835,+1 202-789-0031,true,1,1600,1,0900,2,1600,2,0900,3,1600,3,0900,4,1600,4,0900,5,1600,5,0900,,,,,Monday: 9:00 AM – 4:00 PM,Tuesday: 9:00 AM – 4:00 PM,Wednesday: 9:00 AM – 4:00 PM,Thursday: 9:00 AM – 4:00 PM,Friday: 9:00 AM – 4:00 PM,Saturday: Closed,Sunday: Closed,4.7,http://www.ngef.org/,,,,,
MERIDIAN INTERNATIONAL CENTER,1630 CRESCENT PLACE NW,-77.0381824,38.92021925,+1 202-667-6800,true,1,1700,1,0900,2,1700,2,0900,3,1700,3,0900,4,1700,4,0900,5,1700,5,0900,,,,,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed,4.9,http://www.meridian.org/,,,,,
HOWARD UNIVERSITY GALLERY OF ART,2455 6TH STREET NW,-77.02098138,38.92452904,+1 202-806-7070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,http://www.howard.edu/library/art@howard/goa/generalinfo.htm,,,,,
HOWARD UNIVERSITY MUSEUM,500 HOWARD PLACE NW,-77.0196969,38.92235277,+1 202-806-7239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,http://www.howard.edu/,,,,,
KREEGER MUSEUM,2401 FOXHALL ROAD NW,-77.08877868,38.92190452,+1 202-337-3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,http://www.kreegermuseum.org/,true,,,,
GERMAN-AMERICAN HERITAGE MUSEUM,719 6TH STREET NW,-77.0195865,38.89910316,+1 202-467-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,http://www.gahmusa.org/,true,,,,
HIRSHHORN MUSEUM AND SCULPTURE GARDEN,,-77.022961,38.888407,+1 202-633-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,https://hirshhorn.si.edu/,true,,,,
S. DILLON RIPLEY CENTER,1100 JEFFERSON DRIVE SW,-77.02687494,38.88855849,+1 202-633-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,http://www.si.edu/Museums/ripley-center,true,,,,
AMERICAN RED CROSS MUSEUM,430 17TH STREET NW,-77.04020477,38.89481909,+1 800-733-2767,true,1,1700,1,0800,2,1700,2,0800,3,1700,3,0800,4,1700,4,0800,5,1700,5,0800,,,,,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed,4.4,http://www.redcross.org/,,,,,
ANACOSTIA COMMUNITY MUSEUM,1901 FORT PLACE SE,-76.9767824,38.85657522,+1 202-633-4820,false,0,1700,0,1000,1,1700,1,1000,2,1700,2,1000,3,1700,3,1000,4,1700,4,1000,5,1700,5,1000,Monday: 10:00 AM – 5:00 PM,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: 10:00 AM – 5:00 PM,4.6,http://anacostia.si.edu/,,6,1700,6,1000
ARTHUR M. SACKLER GALLERY,1050 INDEPENDENCE AVENUE SW,-77.02644398,38.88795359,+1 202-633-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,http://freersackler.si.edu/,true,,,,
NEWSEUM,555 PENNSYLVANIA AVENUE NW,-77.01935005,38.8931248,+1 202-208-3100,false,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,,,,,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed,4.3,http://www.doi.gov/interiormuseum/index.cfm,,,,,
NATIONAL BUILDING MUSEUM,401 F STREET NW,-77.01755124,38.89775511,+1 202-272-2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,http://www.nbm.org/,true,,,,
UNITED STATES HOLOCAUST MEMORIAL MUSEUM,100 RAOUL WALLENBERG PLACE SW,-77.03268624,38.88668129,+1 202-488-0400,true,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.8,http://www.ushmm.org/,,6,1730,6,1000
HOUSE OF THE TEMPLE,1733 16TH STREET NW,-77.03582659,38.91369256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEXICAN CULTURAL INSTITUTE,2829 16TH STREET NW,-77.03603436,38.92554484,+1 202-728-1628,true,1,1800,1,1000,2,1800,2,1000,3,1800,3,1000,4,1800,4,1000,5,1800,5,1000,6,1600,6,1200,Monday: 10:00 AM – 6:00 PM,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 12:00 – 4:00 PM,Sunday: Closed,4.8,http://www.instituteofmexicodc.org/,,,,,
NATIONAL ARCHIVES,700 PENNSYLVANIA AVENUE NW,-77.02285696,38.89284625,+1 866-272-6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,https://www.archives.gov/dc,true,,,,
DAUGHTERS OF THE AMERICAN REVOLUTION MUSEUM,1776 D STREET NW,-77.03999645,38.89395841,+1 202-628-1776,true,1,1600,1,0830,2,1600,2,0830,3,1600,3,0830,4,1600,4,0830,5,1600,5,0830,6,1700,6,0900,Monday: 8:30 AM – 4:00 PM,Tuesday: 8:30 AM – 4:00 PM,Wednesday: 8:30 AM – 4:00 PM,Thursday: 8:30 AM – 4:00 PM,Friday: 8:30 AM – 4:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: Closed,4.3,http://www.dar.org/,,,,,
INTERIOR MUSEUM,1849 C STREET NW,-77.04260027,38.89444538,+1 202-208-3100,true,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,,,,,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed,4.3,http://www.doi.gov/interiormuseum/index.cfm,,,,,
FREDERICK DOUGLASS NATIONAL HISTORIC SITE,1411 W STREET SE,-76.98517717,38.863382,+1 202-426-5961,true,0,1630,0,0900,1,1630,1,0900,2,1630,2,0900,3,1630,3,0900,4,1630,4,0900,5,1630,5,0900,Monday: 9:00 AM – 4:30 PM,Tuesday: 9:00 AM – 4:30 PM,Wednesday: 9:00 AM – 4:30 PM,Thursday: 9:00 AM – 4:30 PM,Friday: 9:00 AM – 4:30 PM,Saturday: 9:00 AM – 4:30 PM,Sunday: 9:00 AM – 4:30 PM,4.8,http://www.nps.gov/frdo/index.htm,,6,1630,6,0900
MARY BETHUNE COUNCIL HOUSE,1318 VERMONT AVENUE NW,-77.03086335,38.90816835,+1 202-673-2402,true,4,1700,4,0900,5,1700,5,0900,6,1700,6,0900,,,,,,,,,,,,,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: Closed,4.2,http://www.nps.gov/mamc,,,,,
FORD'S THEATRE,511 10TH STREET NW,-77.02579655,38.89658294,+1 202-347-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,http://www.fords.org/,,,,,
PETERSEN HOUSE,516 10TH STREET NW,-77.02619882,38.89676807,+1 202-347-4833,true,0,1700,0,0830,1,1700,1,0830,2,1700,2,0830,3,1700,3,0830,4,1700,4,0830,5,1700,5,0830,Monday: 8:30 AM – 5:00 PM,Tuesday: 8:30 AM – 5:00 PM,Wednesday: 8:30 AM – 5:00 PM,Thursday: 8:30 AM – 5:00 PM,Friday: 8:30 AM – 5:00 PM,Saturday: 8:30 AM – 5:00 PM,Sunday: 8:30 AM – 5:00 PM,4.4,http://fords.org/,,6,1700,6,0830
GALLAUDET UNIVERSITY MUSEUM,800 FLORIDA AVENUE NE,-76.99492972,38.90577601,+1 202-250-2235,true,1,1600,1,1000,2,1600,2,1000,3,1600,3,1000,4,1600,4,1000,5,1600,5,1000,,,,,Monday: 10:00 AM – 4:00 PM,Tuesday: 10:00 AM – 4:00 PM,Wednesday: 10:00 AM – 4:00 PM,Thursday: 10:00 AM – 4:00 PM,Friday: 10:00 AM – 4:00 PM,Saturday: Closed,Sunday: Closed,4.6,http://www.gallaudet.edu/museum.html,,,,,
